1355962292.36,4096,MIT_CMS_CE2_FTP,-
1355962292.36,4096,SWT2_CPB_FTP,-
1355962292.37,4096,USCMS-FNAL-WC1-CE3_F,-
1355962292.37,4096,FNAL_FERMIGRID_FTP,-
1355962292.37,1024,FNAL_FERMIGRID_FTP,-
1355962292.38,1024,SWT2_CPB_FTP,-
1355962292.38,1024,SPRACE_FTP,-
1355962292.38,1024,USCMS-FNAL-WC1-CE3_F,-
1355962292.39,1024,AGLT2_CE_2_FTP,-
1355962292.39,1024,NYSGRID_CORNELL_NYS1,-
1355962292.39,1024,MIT_CMS_CE2_FTP,-
1355962292.4,1024,Purdue-Steele_FTP,-
1355962292.4,1024,UTA_SWT2_FTP,-
1355962292.4,1024,UFlorida-SSERCA_FTP,-
1355962292.41,256,MIT_CMS_CE2_FTP,-
1355962292.41,256,SWT2_CPB_FTP,-
1355962292.41,256,SPRACE_FTP,-
1355962292.42,256,NYSGRID_CORNELL_NYS1,-
1355962292.42,256,AGLT2_CE_2_FTP,-
1355962292.42,256,Purdue-Steele_FTP,-
1355962292.42,256,UTA_SWT2_FTP,-
1355962292.43,256,USCMS-FNAL-WC1-CE3_F,-
1355962292.43,256,FNAL_FERMIGRID_FTP,-
1355962292.43,256,UFlorida-SSERCA_FTP,-
1355962292.44,64,FNAL_FERMIGRID_FTP,-
1355962292.44,64,AGLT2_CE_2_FTP,-
1355962292.44,64,MIT_CMS_CE2_FTP,-
1355962292.45,64,NYSGRID_CORNELL_NYS1,-
1355962292.45,64,USCMS-FNAL-WC1-CE3_F,-
1355962292.45,64,UTA_SWT2_FTP,-
1355962292.45,64,SWT2_CPB_FTP,-
1355962292.46,64,Purdue-Steele_FTP,-
1355962292.46,64,SPRACE_FTP,-
1355962292.46,64,UFlorida-SSERCA_FTP,-
1355962292.47,2048,UFlorida-SSERCA_FTP,-
1355962292.47,2048,USCMS-FNAL-WC1-CE3_F,-
1355962292.47,2048,SWT2_CPB_FTP,-
1355962292.48,2048,AGLT2_CE_2_FTP,-
1355962292.48,2048,NYSGRID_CORNELL_NYS1,-
1355962292.48,2048,Purdue-Steele_FTP,-
1355962292.49,2048,SPRACE_FTP,-
1355962292.49,2048,UTA_SWT2_FTP,-
1355962292.49,2048,MIT_CMS_CE2_FTP,-
1355962292.5,2048,FNAL_FERMIGRID_FTP,-
1355962292.5,128,UFlorida-SSERCA_FTP,-
1355962292.5,128,UTA_SWT2_FTP,-
1355962292.51,128,FNAL_FERMIGRID_FTP,-
1355962292.51,128,NYSGRID_CORNELL_NYS1,-
1355962292.51,128,MIT_CMS_CE2_FTP,-
1355962292.51,128,Purdue-Steele_FTP,-
1355962292.52,128,AGLT2_CE_2_FTP,-
1355962292.52,128,SPRACE_FTP,-
1355962292.52,128,USCMS-FNAL-WC1-CE3_F,-
1355962292.53,128,SWT2_CPB_FTP,-
1355962292.53,16,SPRACE_FTP,-
1355962292.53,16,AGLT2_CE_2_FTP,-
1355962292.54,16,USCMS-FNAL-WC1-CE3_F,-
