timestamp,filesize,resource,duration
1355943899.8,16,UFlorida-SSERCA_FTP,-
1355943900.42,16,FNAL_FERMIGRID_FTP,18.5656471252
1355943918.99,16,SPRACE_FTP,19.0176141262
1355943938.01,16,NYSGRID_CORNELL_NYS1,-
1355943938.5,16,Purdue-Steele_FTP,8.22492003441
1355943946.73,16,MIT_CMS_CE2_FTP,8.0803129673
1355943954.81,16,UTA_SWT2_FTP,7.83101201057
1355943962.64,16,SWT2_CPB_FTP,-
1355943963.13,16,AGLT2_CE_2_FTP,10.7736170292
1355943973.91,16,USCMS-FNAL-WC1-CE3_F,-
1355943974.4,32,UFlorida-SSERCA_FTP,-
1355943974.8,32,FNAL_FERMIGRID_FTP,26.2475700378
1355944001.05,32,SPRACE_FTP,19.0212740898
1355944020.07,32,NYSGRID_CORNELL_NYS1,-
1355944020.56,32,Purdue-Steele_FTP,5.47779202461
1355944026.04,32,MIT_CMS_CE2_FTP,8.02278995514
1355944034.06,32,UTA_SWT2_FTP,12.7055108547
1355944046.77,32,SWT2_CPB_FTP,-
1355944047.35,32,AGLT2_CE_2_FTP,17.523277998
1355944064.88,32,USCMS-FNAL-WC1-CE3_F,-
1355944065.36,64,UFlorida-SSERCA_FTP,-
1355944065.76,64,FNAL_FERMIGRID_FTP,37.9605679512
1355944103.72,64,SPRACE_FTP,20.3917031288
1355944124.11,64,NYSGRID_CORNELL_NYS1,-
1355944124.6,64,Purdue-Steele_FTP,6.42711901665
1355944131.02,64,MIT_CMS_CE2_FTP,9.45955610275
1355944140.48,64,UTA_SWT2_FTP,14.1558530331
1355944154.64,64,SWT2_CPB_FTP,-
1355944155.13,64,AGLT2_CE_2_FTP,49.5667390823
1355944204.7,64,USCMS-FNAL-WC1-CE3_F,-
1355944205.18,128,UFlorida-SSERCA_FTP,-
1355944205.58,128,FNAL_FERMIGRID_FTP,76.4369449615
1355944282.02,128,SPRACE_FTP,24.2058889866
1355944306.22,128,NYSGRID_CORNELL_NYS1,-
1355944306.71,128,Purdue-Steele_FTP,12.7577290535
1355944319.46,128,MIT_CMS_CE2_FTP,14.1241729259
1355944333.59,128,UTA_SWT2_FTP,21.1035871506
1355944354.69,128,SWT2_CPB_FTP,-
1355944355.2,128,AGLT2_CE_2_FTP,67.5742480755
1355944422.77,128,USCMS-FNAL-WC1-CE3_F,-
1355944423.27,256,UFlorida-SSERCA_FTP,-
1355944423.66,256,FNAL_FERMIGRID_FTP,128.456237078
1355944552.12,256,SPRACE_FTP,30.4063630104
1355944582.52,256,NYSGRID_CORNELL_NYS1,-
1355944583.01,256,Purdue-Steele_FTP,10.0231819153
1355944593.03,256,MIT_CMS_CE2_FTP,37.9329798222
1355944630.97,256,UTA_SWT2_FTP,42.298181057
1355944673.27,256,SWT2_CPB_FTP,-
1355944673.76,256,AGLT2_CE_2_FTP,112.352012157
1355944786.11,256,USCMS-FNAL-WC1-CE3_F,-
1355944786.6,512,UFlorida-SSERCA_FTP,-
1355944787.02,512,FNAL_FERMIGRID_FTP,250.989097118
1355945038.01,512,SPRACE_FTP,47.9989449978
1355945086.01,512,NYSGRID_CORNELL_NYS1,-
1355945086.39,512,Purdue-Steele_FTP,14.9662470818
1355945101.36,512,MIT_CMS_CE2_FTP,83.1502490044
1355945184.51,512,UTA_SWT2_FTP,60.1193668842
1355945244.63,512,SWT2_CPB_FTP,-
1355945245.06,512,AGLT2_CE_2_FTP,212.256030798
1355945457.32,512,USCMS-FNAL-WC1-CE3_F,-
1355945457.75,1024,UFlorida-SSERCA_FTP,-
1355945458.13,1024,FNAL_FERMIGRID_FTP,470.990619898
1355945929.14,1024,SPRACE_FTP,57.1480288506
1355945986.28,1024,NYSGRID_CORNELL_NYS1,-
1355945987.51,1024,Purdue-Steele_FTP,51.6039049625
1355946039.11,1024,MIT_CMS_CE2_FTP,35.6724019051
1355946074.78,1024,UTA_SWT2_FTP,129.44939208
1355946204.23,1024,SWT2_CPB_FTP,-
1355946204.72,1024,AGLT2_CE_2_FTP,438.575423002
1355946643.29,1024,USCMS-FNAL-WC1-CE3_F,-
1355946643.82,2048,UFlorida-SSERCA_FTP,-
1355946644.28,2048,FNAL_FERMIGRID_FTP,926.713243961
1355947570.99,2048,SPRACE_FTP,83.3846311569
1355947654.38,2048,NYSGRID_CORNELL_NYS1,-
1355947654.87,2048,Purdue-Steele_FTP,160.161881208
1355947815.03,2048,MIT_CMS_CE2_FTP,497.342821836
1355948312.38,2048,UTA_SWT2_FTP,702.050096035
1355949014.43,2048,SWT2_CPB_FTP,-
1355949014.9,2048,AGLT2_CE_2_FTP,404.789407969
1355949419.69,2048,USCMS-FNAL-WC1-CE3_F,-
1355949420.18,4096,UFlorida-SSERCA_FTP,-
1355949420.49,4096,FNAL_FERMIGRID_FTP,-
1355949420.8,4096,SPRACE_FTP,-
1355949421.11,4096,NYSGRID_CORNELL_NYS1,-
1355949421.42,4096,Purdue-Steele_FTP,-
1355949421.74,4096,MIT_CMS_CE2_FTP,-
1355949422.06,4096,UTA_SWT2_FTP,-
1355949422.37,4096,SWT2_CPB_FTP,-
1355949422.68,4096,AGLT2_CE_2_FTP,-
1355949422.99,4096,USCMS-FNAL-WC1-CE3_F,-
